,物件名,住所,最寄駅,築年数,価格,利回り,戸数,構造,建物面積,土地面積
40,【収益物件のスリーラージ】駅徒歩4分 川口市,"
      埼玉県川口市芝新町    ",JR京浜東北・根岸線 蕨駅 徒歩4分,1989年02月（築34年）,"
              5億4800万円            ","
              5.61%            ",49戸,SRC造,"
      1231.15㎡      (44.6万円/㎡)    ","
      321.96㎡      (170.3万円/㎡)    "
41,川越市連雀町１棟ビル,"
      埼玉県川越市連雀町    ",西武新宿線 本川越駅 徒歩10分 他,1991年05月（築32年）,"
              1億3000万円            ","
              7.48%            ",16戸,RC造,"
      619.16㎡      (21.0万円/㎡)    ","
      156.00㎡      (83.4万円/㎡)    "
42,【新築】Best Stage鴻巣市本町３丁目　鴻巣駅徒歩７分,"
      埼玉県鴻巣市本町3丁目    ",JR高崎線 鴻巣駅 徒歩7分,,"
              1億3700万円            ","
              7.00%            ",12戸,木造,"
      499.76㎡      (27.5万円/㎡)    ","
      324.96㎡      (42.2万円/㎡)    "
43,デュオヒルズ東川口,"
      埼玉県川口市戸塚２丁目    ",JR武蔵野線 東川口駅 徒歩4分 他,"
      2017年08月（築6年）          ","
              4800万円            ","
              4.75%            ",98戸,RC造,"
      71.55㎡      (67.1万円/㎡)    ", 
44,さいたま市見沼区大字大谷不動産,"
      埼玉県さいたま市見沼区大谷１９９６−７    ",東武野田線 七里駅 バス3分,1976年02月（築47年）,"
              300万円            ",0,,木造,"
      56.18㎡      (5.4万円/㎡)    ","
      108.56㎡      (2.8万円/㎡)    "
45,ステージグランデ大宮,"
      埼玉県さいたま市大宮区宮町1    ",JR埼京線 大宮駅 徒歩4分,"
      2008年02月（築15年）          ","
              1400万円            ","
              5.51%            ",77戸,SRC造,"
      20.23㎡      (69.3万円/㎡)    ", 
46,H4年築！収納充実！駐車スペース有！,"
      埼玉県川口市大字峯    ",東武伊勢崎・大師線 草加駅 徒歩35分,1992年05月（築31年）,"
              1860万円            ",0,,木造,"
      83.94㎡      (22.2万円/㎡)    ","
      83.94㎡      (22.2万円/㎡)    "
47,パールマンション,"
      埼玉県本庄市駅南２丁目    ",JR高崎線 本庄駅 徒歩1分,"
      1980年02月（築43年）          ","
              790万円            ","
              15.18%            ",12戸,RC造,"
      27.91㎡      (28.4万円/㎡)    ", 
48,※利回り12％、賃貸中、新耐震RC、管積1万以下,"
      埼玉県狭山市大字東三ツ木    ",西武新宿線 新狭山駅 徒歩6分,"
      1987年12月（築36年）          ","
              288万円            ","
              12.08%            ",,RC造,"
      14.58㎡      (19.8万円/㎡)    ", 
49,◆◆「毛呂駅」徒歩7分◆平成築の新耐震基準マンション◆◆,"
      埼玉県入間郡毛呂山町大字小田谷    ",JR八高線 毛呂駅 徒歩7分,"
      1991年03月（築32年）          ","
              200万円            ","
              13.80%            ",,RC造,"
      16.10㎡      (12.5万円/㎡)    ", 
